item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating,total_sales,gross_margin,net_sales
Regular,FDU12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076059648,15.5,265.1568,3.9,265.1568,53.03136,212.12543999999997
Low Fat,FDI15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.141325834,13.8,265.0884,4.0,265.0884,53.01768,212.07072
Regular,FDL58,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.07429945,5.78,264.9568,4.0,264.9568,52.99136,211.96544
Regular,FDL58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.074087369,5.78,264.9568,4.1,264.9568,52.99136,211.96544
Low Fat,FDF05,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.026848529,17.5,264.891,4.1,264.891,52.97820000000001,211.9128
Low Fat,NCS29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.069938838,9.0,264.8884,4.0,264.8884,52.97768,211.91072
Regular,FDY02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,8.945,264.791,3.7,264.791,52.958200000000005,211.8328
Low Fat,NCB31,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.118915034,6.235,264.791,3.9,264.791,52.958200000000005,211.8328
LF,FDS13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.124506117,6.465,264.7884,4.0,264.7884,52.95768000000001,211.83072
Regular,FDL58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.074264356,5.78,264.7568,2.0,264.7568,52.95136,211.80544
low fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.025932408,10.0,264.7226,3.7,264.7226,52.944520000000004,211.77808
Low Fat,FDK40,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021938404,7.035,264.691,4.0,264.691,52.938199999999995,211.75279999999998
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10.0,264.6226,5.0,264.6226,52.92452,211.69807999999998
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,264.5884,5.0,264.5884,52.91768,211.67072
Regular,FDL58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074451126,5.78,264.5568,4.2,264.5568,52.91136,211.64544
Low Fat,FDB15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.136696892,10.895,264.5568,5.0,264.5568,52.91136,211.64544
LF,FDY14,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.070149088,10.3,264.5226,4.0,264.5226,52.904520000000005,211.61808000000002
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,264.491,5.0,264.491,52.8982,211.59279999999998
Regular,FDO09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.125469442,13.5,264.491,4.0,264.491,52.8982,211.59279999999998
Low Fat,FDF05,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.026925385,17.5,264.391,1.7,264.391,52.87820000000001,211.51280000000003
Low Fat,FDB15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.137368051,10.895,264.3568,4.3,264.3568,52.87136000000001,211.48544
Low Fat,NCM05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.059835659,6.825,264.3226,4.3,264.3226,52.864520000000006,211.45808000000002
Regular,FDS56,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,0.038976089,5.785,264.2252,4.0,264.2252,52.84504,211.38016
Low Fat,FDI15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.141352562,13.8,264.1884,4.0,264.1884,52.837680000000006,211.35072
Low Fat,FDS13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124758619,6.465,264.1884,3.4,264.1884,52.837680000000006,211.35072
Low Fat,FDK51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.005234153,19.85,264.0884,4.0,264.0884,52.817679999999996,211.27071999999998
Regular,FDL58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.074135053,5.78,264.0568,4.2,264.0568,52.81136000000001,211.24544
Low Fat,NCB31,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.118651919,6.235,263.991,4.0,263.991,52.7982,211.19279999999998
Regular,FDU12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.075904695,15.5,263.9568,4.0,263.9568,52.79136,211.16544
Regular,FDS56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.038724612,5.785,263.9252,4.2,263.9252,52.78504000000001,211.14016
Low Fat,NCB31,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.119157788,6.235,263.791,4.0,263.791,52.7582,211.0328
Regular,FDF39,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.019550858,14.85,263.791,4.0,263.791,52.7582,211.0328
LF,FDK40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021883368,7.035,263.791,3.7,263.791,52.7582,211.0328
Low Fat,FDI15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.141234932,13.8,263.7884,4.4,263.7884,52.75768000000001,211.03072000000003
Low Fat,FDI15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,13.8,263.7884,3.0,263.7884,52.75768000000001,211.03072000000003
Regular,FDL58,Snack Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,5.78,263.7568,4.2,263.7568,52.751360000000005,211.00544
Low Fat,FDB15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.137023446,10.895,263.7568,4.2,263.7568,52.751360000000005,211.00544
Low Fat,NCS06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,7.935,263.691,4.0,263.691,52.7382,210.95279999999997
Low Fat,FDY14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.070026951,10.3,263.6226,4.0,263.6226,52.72452,210.89808
Low Fat,DRF37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,17.25,263.591,3.5,263.591,52.7182,210.8728
Low Fat,FDI15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.14215211,13.8,263.5884,4.1,263.5884,52.71768,210.87071999999998
Regular,FDY02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087629354,8.945,263.491,4.0,263.491,52.6982,210.7928
Low Fat,FDB15,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.228993134,10.895,263.4568,4.0,263.4568,52.69136,210.76543999999998
low fat,DRF37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.084316691,17.25,263.391,3.9,263.391,52.678200000000004,210.71280000000002
Low Fat,NCB31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.118858866,6.235,263.291,4.8,263.291,52.6582,210.6328
Low Fat,FDK40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.0,7.035,263.291,4.0,263.291,52.6582,210.6328
Regular,FDR59,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.063810405,14.5,263.2594,4.3,263.2594,52.651880000000006,210.60752000000002
Low Fat,FDV49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025827199,10.0,263.2226,4.3,263.2226,52.64452,210.57808
Low Fat,DRF37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.084676173,17.25,263.191,2.8,263.191,52.6382,210.5528
Low Fat,FDS13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,6.465,263.1884,4.0,263.1884,52.63768,210.55072
Regular,FDR59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.063962842,14.5,263.1594,4.2,263.1594,52.63188,210.52752
Low Fat,NCS06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.031710329,7.935,263.091,4.0,263.091,52.6182,210.4728
Low Fat,FDB15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.136810742,10.895,263.0568,4.0,263.0568,52.611360000000005,210.44544000000002
Low Fat,FDG47,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.069560905,12.8,263.0252,4.0,263.0252,52.60504,210.42015999999998
Low Fat,FDY14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.070040195,10.3,263.0226,4.0,263.0226,52.60452000000001,210.41808
Low Fat,FDY14,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.069981909,10.3,263.0226,4.0,263.0226,52.60452000000001,210.41808
Low Fat,NCL06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072178679,14.65,262.9594,4.0,262.9594,52.59188,210.36752
Regular,FDU12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.075688032,15.5,262.9568,3.9,262.9568,52.59136,210.36543999999998
Regular,FDP28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.080765853,13.65,262.8936,4.0,262.8936,52.578720000000004,210.31488
Regular,FDU12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07575107,15.5,262.8568,4.3,262.8568,52.571360000000006,210.28544000000002
Low Fat,FDG47,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.070012633,12.8,262.8252,3.2,262.8252,52.56504,210.26015999999998
Low Fat,FDK40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02189371,7.035,262.791,4.2,262.791,52.5582,210.2328
Regular,FDR59,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.064224789,14.5,262.7594,4.0,262.7594,52.55188000000001,210.20752000000002
Low Fat,FDV49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025822315,10.0,262.7226,4.5,262.7226,52.544520000000006,210.17808
Low Fat,NCM05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.100171568,6.825,262.7226,4.4,262.7226,52.544520000000006,210.17808
Regular,FDP28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,13.65,262.6936,4.0,262.6936,52.538720000000005,210.15488
Low Fat,FDK40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,7.035,262.691,4.6,262.691,52.538199999999996,210.15279999999998
Regular,FDS56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.038817121,5.785,262.6252,4.1,262.6252,52.525040000000004,210.10016000000002
Low Fat,FDF05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026980351,17.5,262.591,4.3,262.591,52.51820000000001,210.0728
Regular,FDF39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019511288,14.85,262.591,3.3,262.591,52.51820000000001,210.0728
Low Fat,NCM05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.059846975,6.825,262.5226,4.0,262.5226,52.50452000000001,210.01808
Low Fat,FDF05,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.027022883,17.5,262.491,4.1,262.491,52.4982,209.9928
Low Fat,NCM05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.059940022,6.825,262.4226,4.0,262.4226,52.48452,209.93807999999999
Low Fat,FDJ41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.022878953,6.85,262.3594,4.0,262.3594,52.47188,209.88752
Regular,FDR59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.063863551,14.5,262.3594,4.3,262.3594,52.47188,209.88752
Regular,FDL58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.124110349,5.78,262.3568,4.0,262.3568,52.471360000000004,209.88544000000002
Low Fat,NCQ29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,12.0,262.3278,4.0,262.3278,52.46556000000001,209.86224
Regular,FDY02,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.146701312,8.945,262.291,4.0,262.291,52.458200000000005,209.8328
Low Fat,FDB15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137584599,10.895,262.2568,3.4,262.2568,52.45136,209.80544
Regular,FDL58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.074149074,5.78,262.2568,4.2,262.2568,52.45136,209.80544
Regular,FDO09,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125274674,13.5,262.191,4.0,262.191,52.438199999999995,209.75279999999998
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125528734,13.5,262.191,5.0,262.191,52.438199999999995,209.75279999999998
Low Fat,FDS26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.089608321,20.35,262.1594,3.8,262.1594,52.43188000000001,209.72752
Regular,FDU12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.126791761,15.5,262.1568,4.0,262.1568,52.43136,209.72544
Regular,FDT16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048738014,9.895,262.1278,4.0,262.1278,52.42556,209.70224
Regular,FDS56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.064871045,5.785,262.1252,3.4,262.1252,52.42504,209.70016
Low Fat,FDK40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021849398,7.035,262.091,4.0,262.091,52.418200000000006,209.6728
Low Fat,FDJ41,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.023012718,6.85,262.0594,4.0,262.0594,52.41188,209.64752
Regular,FDS56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.038749536,5.785,262.0252,4.0,262.0252,52.40504,209.62016
Low Fat,NCB31,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.119345629,6.235,261.991,2.0,261.991,52.3982,209.59279999999998
Low Fat,FDG47,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069605676,12.8,261.9252,3.5,261.9252,52.385040000000004,209.54016000000001
Low Fat,NCL06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.120624771,14.65,261.7594,4.0,261.7594,52.35188000000001,209.40752000000003
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843,15.5,261.7568,5.0,261.7568,52.35136,209.40544
Regular,FDT16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.048662357,9.895,261.7278,1.0,261.7278,52.345560000000006,209.38224
Low Fat,FDF05,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.026865809,17.5,261.691,4.0,261.691,52.3382,209.35279999999997
Low Fat,NCB31,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.118674359,6.235,261.691,4.2,261.691,52.3382,209.35279999999997
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,261.6594,5.0,261.6594,52.331880000000005,209.32752
Low Fat,FDS26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.089975294,20.35,261.6594,4.1,261.6594,52.331880000000005,209.32752
reg,FDN51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.021065311,17.85,261.5936,4.2,261.5936,52.31872,209.27488
Regular,FDF39,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.019590769,14.85,261.591,2.8,261.591,52.318200000000004,209.27280000000002
Low Fat,NCS06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.031801103,7.935,261.591,4.0,261.591,52.318200000000004,209.27280000000002
Low Fat,DRF37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.084262458,17.25,261.591,3.5,261.591,52.318200000000004,209.27280000000002
Regular,FDO09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.125170423,13.5,261.491,3.8,261.491,52.2982,209.19279999999998
Low Fat,DRM11,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066338717,6.57,261.4278,4.5,261.4278,52.285560000000004,209.14224
Low Fat,FDG47,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,0.116527666,12.8,261.4252,4.6,261.4252,52.28504000000001,209.14016
Regular,FDY02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.088002959,8.945,261.391,4.0,261.391,52.278200000000005,209.11280000000002
Low Fat,FDG47,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069902438,12.8,261.3252,3.5,261.3252,52.26504,209.06016
Regular,FDP28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.081096613,13.65,261.2936,4.2,261.2936,52.25872000000001,209.03488000000002
Low Fat,NCS06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031866022,7.935,261.291,3.0,261.291,52.2582,209.0328
Regular,FDF39,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.019495051,14.85,261.291,2.5,261.291,52.2582,209.0328
Low Fat,FDF05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026912667,17.5,261.291,4.0,261.291,52.2582,209.0328
LF,FDJ41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02288328,6.85,261.2594,4.4,261.2594,52.25188000000001,209.00752000000003
Low Fat,FDJ41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.03830192,6.85,261.2594,3.7,261.2594,52.25188000000001,209.00752000000003
Regular,FDP28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.080804019,13.65,261.1936,4.6,261.1936,52.23872,208.95488
Low Fat,DRF37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.084809658,17.25,261.191,4.6,261.191,52.2382,208.95279999999997
Low Fat,NCS06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.031730739,7.935,261.091,4.3,261.091,52.2182,208.8728
Regular,FDY02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.087823675,8.945,261.091,4.0,261.091,52.2182,208.8728
Low Fat,DRM11,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.066069578,6.57,261.0278,4.0,261.0278,52.205560000000006,208.82224000000002
Low Fat,NCL06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.072212787,14.65,260.9594,4.0,260.9594,52.191880000000005,208.76752000000002
Regular,FDA04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.066717378,11.3,260.8962,3.6,260.8962,52.17924000000001,208.71696000000003
Low Fat,NCF06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020229757,6.235,260.8962,4.0,260.8962,52.17924000000001,208.71696000000003
Regular,FDN51,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.020989308,17.85,260.7936,4.0,260.7936,52.15872000000001,208.63488
Regular,FDS56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.038756864,5.785,260.7252,4.0,260.7252,52.145039999999995,208.58015999999998
Low Fat,FDU55,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.035984104,16.2,260.6278,3.5,260.6278,52.12556,208.50223999999997
Low Fat,FDR09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07784544,18.25,260.5962,4.0,260.5962,52.119240000000005,208.47696000000002
Regular,FDT16,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.048761046,9.895,260.5278,4.0,260.5278,52.105560000000004,208.42224000000002
Regular,FDR59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.063851475,14.5,260.4594,4.0,260.4594,52.09188,208.36752
Regular,FDR59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.063993068,14.5,260.4594,4.2,260.4594,52.09188,208.36752
Regular,FDR59,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.106894492,14.5,260.4594,4.3,260.4594,52.09188,208.36752
Low Fat,FDC02,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.068765205,21.35,260.4278,4.4,260.4278,52.08556,208.34224
Regular,FDL57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.067020992,15.1,260.3304,4.3,260.3304,52.06608,208.26432
Low Fat,FDU55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036057562,16.2,260.3278,4.4,260.3278,52.065560000000005,208.26224000000002
Low Fat,FDU55,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035967107,16.2,260.3278,3.9,260.3278,52.065560000000005,208.26224000000002
Low Fat,FDG47,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06961884,12.8,260.3252,4.3,260.3252,52.06504,208.26015999999998
Low Fat,FDR09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.077659918,18.25,260.2962,4.0,260.2962,52.05924,208.23696
Regular,FDN51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020942867,17.85,260.2936,4.0,260.2936,52.05872000000001,208.23488000000003
Regular,FDL57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.067212845,15.1,260.2304,4.0,260.2304,52.046079999999996,208.18431999999999
Regular,FDT16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.048860587,9.895,260.2278,4.4,260.2278,52.04556,208.18224
Regular,FDA04,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.066865326,11.3,260.1962,4.0,260.1962,52.03924,208.15695999999997
Regular,FDP28,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.080573371,13.65,260.1936,4.1,260.1936,52.038720000000005,208.15488
Low Fat,FDS26,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.089394766,20.35,260.1594,4.0,260.1594,52.03188,208.12752
Regular,FDP28,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.134975628,13.65,260.0936,4.8,260.0936,52.01872,208.07487999999998
Low Fat,FDJ41,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.022864238,6.85,260.0594,3.3,260.0594,52.01188,208.04752
Low Fat,FDC02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069102831,21.35,259.9278,2.6,259.9278,51.98556,207.94224
Regular,FDP28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080968973,13.65,259.7936,4.0,259.7936,51.95872000000001,207.83488000000003
Low Fat,FDS26,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.149753132,20.35,259.7594,4.0,259.7594,51.95188000000001,207.80752
LF,FDF04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.013692598,17.5,259.7304,4.5,259.7304,51.946079999999995,207.78431999999998
Low Fat,DRM11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.066014596,6.57,259.7278,4.5,259.7278,51.94556,207.78224
Low Fat,FDR09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077709902,18.25,259.6962,3.0,259.6962,51.93924,207.75696
Regular,FDP28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08062523,13.65,259.6936,4.0,259.6936,51.93872,207.75488
Low Fat,NCW30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.011007815,5.21,259.5962,4.0,259.5962,51.91924,207.67696
Low Fat,NCQ29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.104230135,12.0,259.5278,4.0,259.5278,51.90556000000001,207.62224
Low Fat,FDM21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064351908,20.2,259.4646,3.7,259.4646,51.892920000000004,207.57168000000001
Low Fat,FDK28,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065960909,5.695,259.2646,4.3,259.2646,51.85292,207.41168
Low Fat,FDM21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06449461,20.2,259.2646,4.2,259.2646,51.85292,207.41168
Low Fat,FDF04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.013714183,17.5,259.2304,4.0,259.2304,51.84608,207.38431999999997
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122,9.6,259.2304,5.0,259.2304,51.84608,207.38431999999997
reg,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067001825,11.3,259.1962,4.3,259.1962,51.83924,207.35696
Regular,FDA04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.066674465,11.3,259.1962,3.9,259.1962,51.83924,207.35696
